trial_id,family_id,variant_name,variant_order_source,slot_A_profile,slot_B_profile,source_origin,source_split,source_trial_id,source_config_id,source_labelA,P_E,P_A,P_S,P_D,Q_E,Q_A,Q_S,Q_D,order_id_A,order_A,order_id_B,order_B,source_order_id_A,source_order_A,source_order_id_B,source_order_B,source_paraphrase_id,paraphrase_id,seed,variant_delta_E,variant_delta_A,variant_delta_S,variant_delta_D,source_delta_E,source_delta_A,source_delta_S,source_delta_D,delta_base_E,delta_base_A,delta_base_S,delta_base_D,labelA
train_0004__p_at_ob_vs_q_at_ob,train_0004,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00219,B3-0006,A,High,Medium,Low,Medium,High,High,Low,Low,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,S>E>A>D,1,0,724690652,0,-1,0,1,0,-1,0,1,0,-1,0,1,A
train_0004__q_at_ob_vs_p_at_ob,train_0004,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00219,B3-0006,A,High,Medium,Low,Medium,High,High,Low,Low,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,S>E>A>D,1,0,724690652,0,1,0,-1,0,-1,0,1,0,1,0,-1,B
train_0005__p_at_oa_vs_q_at_oa,train_0005,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00223,B3-0008,A,Low,High,Medium,Medium,High,Low,Low,Low,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,1,S>E>A>D,0,0,1938821095,-2,2,1,1,-2,2,1,1,-2,2,1,1,A
train_0005__q_at_oa_vs_p_at_oa,train_0005,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00223,B3-0008,A,Low,High,Medium,Medium,High,Low,Low,Low,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,1,S>E>A>D,0,0,1938821095,2,-2,-1,-1,-2,2,1,1,2,-2,-1,-1,B
train_0005__p_at_ob_vs_q_at_ob,train_0005,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00223,B3-0008,A,Low,High,Medium,Medium,High,Low,Low,Low,1,S>E>A>D,1,S>E>A>D,3,D>A>S>E,1,S>E>A>D,0,0,1938821095,-2,2,1,1,-2,2,1,1,-2,2,1,1,A
train_0005__q_at_ob_vs_p_at_ob,train_0005,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00223,B3-0008,A,Low,High,Medium,Medium,High,Low,Low,Low,1,S>E>A>D,1,S>E>A>D,3,D>A>S>E,1,S>E>A>D,0,0,1938821095,2,-2,-1,-1,-2,2,1,1,2,-2,-1,-1,B
train_0006__p_at_oa_vs_q_at_oa,train_0006,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00226,B3-0009,B,Low,Medium,Medium,High,High,High,High,Low,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,2,A>D>E>S,2,0,3713401645,-2,-1,-1,2,2,1,1,-2,-2,-1,-1,2,A
train_0006__q_at_oa_vs_p_at_oa,train_0006,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00226,B3-0009,B,Low,Medium,Medium,High,High,High,High,Low,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,2,A>D>E>S,2,0,3713401645,2,1,1,-2,2,1,1,-2,2,1,1,-2,B
train_0006__p_at_ob_vs_q_at_ob,train_0006,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00226,B3-0009,B,Low,Medium,Medium,High,High,High,High,Low,2,A>D>E>S,2,A>D>E>S,3,D>A>S>E,2,A>D>E>S,2,0,3713401645,-2,-1,-1,2,2,1,1,-2,-2,-1,-1,2,A
train_0006__q_at_ob_vs_p_at_ob,train_0006,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00226,B3-0009,B,Low,Medium,Medium,High,High,High,High,Low,2,A>D>E>S,2,A>D>E>S,3,D>A>S>E,2,A>D>E>S,2,0,3713401645,2,1,1,-2,2,1,1,-2,2,1,1,-2,B
train_0007__p_at_oa_vs_q_at_oa,train_0007,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00228,B3-0010,B,Medium,Low,High,Low,Medium,Medium,Low,Low,0,E>S>D>A,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,2,0,1434025120,0,-1,2,0,0,1,-2,0,0,-1,2,0,A
train_0007__q_at_oa_vs_p_at_oa,train_0007,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00228,B3-0010,B,Medium,Low,High,Low,Medium,Medium,Low,Low,0,E>S>D>A,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,2,0,1434025120,0,1,-2,0,0,1,-2,0,0,1,-2,0,B
train_0007__p_at_ob_vs_q_at_ob,train_0007,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00228,B3-0010,B,Medium,Low,High,Low,Medium,Medium,Low,Low,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,1,S>E>A>D,2,0,1434025120,0,-1,2,0,0,1,-2,0,0,-1,2,0,A
train_0007__q_at_ob_vs_p_at_ob,train_0007,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00228,B3-0010,B,Medium,Low,High,Low,Medium,Medium,Low,Low,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,1,S>E>A>D,2,0,1434025120,0,1,-2,0,0,1,-2,0,0,1,-2,0,B
train_0008__p_at_oa_vs_q_at_oa,train_0008,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00231,B3-0012,A,High,Medium,Medium,Medium,High,High,High,Low,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,1,0,3884162561,0,-1,-1,1,0,-1,-1,1,0,-1,-1,1,A
train_0008__q_at_oa_vs_p_at_oa,train_0008,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00231,B3-0012,A,High,Medium,Medium,Medium,High,High,High,Low,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,1,0,3884162561,0,1,1,-1,0,-1,-1,1,0,1,1,-1,B
train_0008__p_at_ob_vs_q_at_ob,train_0008,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00231,B3-0012,A,High,Medium,Medium,Medium,High,High,High,Low,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,S>E>A>D,1,0,3884162561,0,-1,-1,1,0,-1,-1,1,0,-1,-1,1,A
train_0008__q_at_ob_vs_p_at_ob,train_0008,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00231,B3-0012,A,High,Medium,Medium,Medium,High,High,High,Low,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,S>E>A>D,1,0,3884162561,0,1,1,-1,0,-1,-1,1,0,1,1,-1,B
train_0009__p_at_oa_vs_q_at_oa,train_0009,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00238,B3-0015,B,Medium,High,Low,High,High,Low,High,High,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,0,E>S>D>A,1,0,1592521339,-1,2,-2,0,1,-2,2,0,-1,2,-2,0,A
train_0009__q_at_oa_vs_p_at_oa,train_0009,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00238,B3-0015,B,Medium,High,Low,High,High,Low,High,High,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,0,E>S>D>A,1,0,1592521339,1,-2,2,0,1,-2,2,0,1,-2,2,0,B
train_0009__p_at_ob_vs_q_at_ob,train_0009,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00238,B3-0015,B,Medium,High,Low,High,High,Low,High,High,0,E>S>D>A,0,E>S>D>A,2,A>D>E>S,0,E>S>D>A,1,0,1592521339,-1,2,-2,0,1,-2,2,0,-1,2,-2,0,A
train_0009__q_at_ob_vs_p_at_ob,train_0009,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00238,B3-0015,B,Medium,High,Low,High,High,Low,High,High,0,E>S>D>A,0,E>S>D>A,2,A>D>E>S,0,E>S>D>A,1,0,1592521339,1,-2,2,0,1,-2,2,0,1,-2,2,0,B
train_0010__p_at_oa_vs_q_at_oa,train_0010,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00241,B3-0017,A,Medium,Medium,High,Low,High,High,Low,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,3,D>A>S>E,1,0,71632324,-1,-1,2,0,-1,-1,2,0,-1,-1,2,0,A
train_0010__q_at_oa_vs_p_at_oa,train_0010,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00241,B3-0017,A,Medium,Medium,High,Low,High,High,Low,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,3,D>A>S>E,1,0,71632324,1,1,-2,0,-1,-1,2,0,1,1,-2,0,B
train_0010__p_at_ob_vs_q_at_ob,train_0010,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00241,B3-0017,A,Medium,Medium,High,Low,High,High,Low,Low,3,D>A>S>E,3,D>A>S>E,1,S>E>A>D,3,D>A>S>E,1,0,71632324,-1,-1,2,0,-1,-1,2,0,-1,-1,2,0,A
train_0010__q_at_ob_vs_p_at_ob,train_0010,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00241,B3-0017,A,Medium,Medium,High,Low,High,High,Low,Low,3,D>A>S>E,3,D>A>S>E,1,S>E>A>D,3,D>A>S>E,1,0,71632324,1,1,-2,0,-1,-1,2,0,1,1,-2,0,B
train_0011__p_at_oa_vs_q_at_oa,train_0011,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00243,B3-0018,A,Low,Low,High,Low,Medium,High,Low,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,2,A>D>E>S,0,0,1613239677,-1,-2,2,-1,-1,-2,2,-1,-1,-2,2,-1,A
train_0011__q_at_oa_vs_p_at_oa,train_0011,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00243,B3-0018,A,Low,Low,High,Low,Medium,High,Low,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,2,A>D>E>S,0,0,1613239677,1,2,-2,1,-1,-2,2,-1,1,2,-2,1,B
train_0011__p_at_ob_vs_q_at_ob,train_0011,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00243,B3-0018,A,Low,Low,High,Low,Medium,High,Low,Medium,2,A>D>E>S,2,A>D>E>S,3,D>A>S>E,2,A>D>E>S,0,0,1613239677,-1,-2,2,-1,-1,-2,2,-1,-1,-2,2,-1,A
train_0011__q_at_ob_vs_p_at_ob,train_0011,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00243,B3-0018,A,Low,Low,High,Low,Medium,High,Low,Medium,2,A>D>E>S,2,A>D>E>S,3,D>A>S>E,2,A>D>E>S,0,0,1613239677,1,2,-2,1,-1,-2,2,-1,1,2,-2,1,B
train_0012__p_at_oa_vs_q_at_oa,train_0012,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00244,B3-0018,B,Low,Low,High,Low,Medium,High,Low,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,0,913193279,-1,-2,2,-1,1,2,-2,1,-1,-2,2,-1,A
train_0012__q_at_oa_vs_p_at_oa,train_0012,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00244,B3-0018,B,Low,Low,High,Low,Medium,High,Low,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,0,913193279,1,2,-2,1,1,2,-2,1,1,2,-2,1,B
train_0012__p_at_ob_vs_q_at_ob,train_0012,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00244,B3-0018,B,Low,Low,High,Low,Medium,High,Low,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,0,913193279,-1,-2,2,-1,1,2,-2,1,-1,-2,2,-1,A
train_0012__q_at_ob_vs_p_at_ob,train_0012,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00244,B3-0018,B,Low,Low,High,Low,Medium,High,Low,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,0,913193279,1,2,-2,1,1,2,-2,1,1,2,-2,1,B
train_0013__p_at_oa_vs_q_at_oa,train_0013,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00247,B3-0020,A,Low,Medium,High,Low,Medium,Low,Medium,Low,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,3,D>A>S>E,2,0,2578080999,-1,1,1,0,-1,1,1,0,-1,1,1,0,A
train_0013__q_at_oa_vs_p_at_oa,train_0013,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00247,B3-0020,A,Low,Medium,High,Low,Medium,Low,Medium,Low,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,3,D>A>S>E,2,0,2578080999,1,-1,-1,0,-1,1,1,0,1,-1,-1,0,B
train_0013__p_at_ob_vs_q_at_ob,train_0013,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00247,B3-0020,A,Low,Medium,High,Low,Medium,Low,Medium,Low,3,D>A>S>E,3,D>A>S>E,2,A>D>E>S,3,D>A>S>E,2,0,2578080999,-1,1,1,0,-1,1,1,0,-1,1,1,0,A
train_0013__q_at_ob_vs_p_at_ob,train_0013,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00247,B3-0020,A,Low,Medium,High,Low,Medium,Low,Medium,Low,3,D>A>S>E,3,D>A>S>E,2,A>D>E>S,3,D>A>S>E,2,0,2578080999,1,-1,-1,0,-1,1,1,0,1,-1,-1,0,B
train_0014__p_at_oa_vs_q_at_oa,train_0014,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00251,B3-0022,A,Low,Low,Low,High,Low,Medium,Medium,Medium,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,0,1065854473,0,-1,-1,1,0,-1,-1,1,0,-1,-1,1,A
train_0014__q_at_oa_vs_p_at_oa,train_0014,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00251,B3-0022,A,Low,Low,Low,High,Low,Medium,Medium,Medium,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,0,1065854473,0,1,1,-1,0,-1,-1,1,0,1,1,-1,B
train_0014__p_at_ob_vs_q_at_ob,train_0014,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00251,B3-0022,A,Low,Low,Low,High,Low,Medium,Medium,Medium,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,2,A>D>E>S,1,0,1065854473,0,-1,-1,1,0,-1,-1,1,0,-1,-1,1,A
train_0014__q_at_ob_vs_p_at_ob,train_0014,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00251,B3-0022,A,Low,Low,Low,High,Low,Medium,Medium,Medium,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,2,A>D>E>S,1,0,1065854473,0,1,1,-1,0,-1,-1,1,0,1,1,-1,B
train_0015__p_at_oa_vs_q_at_oa,train_0015,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00252,B3-0022,B,Low,Low,Low,High,Low,Medium,Medium,Medium,0,E>S>D>A,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,1,0,1864471214,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,A
train_0015__q_at_oa_vs_p_at_oa,train_0015,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00252,B3-0022,B,Low,Low,Low,High,Low,Medium,Medium,Medium,0,E>S>D>A,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,1,0,1864471214,0,1,1,-1,0,1,1,-1,0,1,1,-1,B
train_0015__p_at_ob_vs_q_at_ob,train_0015,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00252,B3-0022,B,Low,Low,Low,High,Low,Medium,Medium,Medium,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,1,S>E>A>D,1,0,1864471214,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,A
train_0015__q_at_ob_vs_p_at_ob,train_0015,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00252,B3-0022,B,Low,Low,Low,High,Low,Medium,Medium,Medium,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,1,S>E>A>D,1,0,1864471214,0,1,1,-1,0,1,1,-1,0,1,1,-1,B
train_0016__p_at_oa_vs_q_at_oa,train_0016,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00256,B3-0024,B,High,Low,Medium,Medium,High,Medium,High,Low,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,E>S>D>A,1,0,2386496500,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,A
train_0016__q_at_oa_vs_p_at_oa,train_0016,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00256,B3-0024,B,High,Low,Medium,Medium,High,Medium,High,Low,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,E>S>D>A,1,0,2386496500,0,1,1,-1,0,1,1,-1,0,1,1,-1,B
train_0016__p_at_ob_vs_q_at_ob,train_0016,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00256,B3-0024,B,High,Low,Medium,Medium,High,Medium,High,Low,0,E>S>D>A,0,E>S>D>A,3,D>A>S>E,0,E>S>D>A,1,0,2386496500,0,-1,-1,1,0,1,1,-1,0,-1,-1,1,A
train_0016__q_at_ob_vs_p_at_ob,train_0016,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00256,B3-0024,B,High,Low,Medium,Medium,High,Medium,High,Low,0,E>S>D>A,0,E>S>D>A,3,D>A>S>E,0,E>S>D>A,1,0,2386496500,0,1,1,-1,0,1,1,-1,0,1,1,-1,B
train_0017__p_at_oa_vs_q_at_oa,train_0017,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00258,B3-0025,B,Low,Medium,High,Low,Low,High,Low,High,0,E>S>D>A,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,2,0,2064341891,0,-1,2,-2,0,1,-2,2,0,-1,2,-2,A
train_0017__q_at_oa_vs_p_at_oa,train_0017,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00258,B3-0025,B,Low,Medium,High,Low,Low,High,Low,High,0,E>S>D>A,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,2,0,2064341891,0,1,-2,2,0,1,-2,2,0,1,-2,2,B
train_0017__p_at_ob_vs_q_at_ob,train_0017,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00258,B3-0025,B,Low,Medium,High,Low,Low,High,Low,High,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,1,S>E>A>D,2,0,2064341891,0,-1,2,-2,0,1,-2,2,0,-1,2,-2,A
train_0017__q_at_ob_vs_p_at_ob,train_0017,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00258,B3-0025,B,Low,Medium,High,Low,Low,High,Low,High,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,1,S>E>A>D,2,0,2064341891,0,1,-2,2,0,1,-2,2,0,1,-2,2,B
train_0018__p_at_oa_vs_q_at_oa,train_0018,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00259,B3-0026,A,Low,High,Medium,Low,Medium,Medium,Low,High,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,0,E>S>D>A,1,0,2041332836,-1,1,1,-2,-1,1,1,-2,-1,1,1,-2,A
train_0018__q_at_oa_vs_p_at_oa,train_0018,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00259,B3-0026,A,Low,High,Medium,Low,Medium,Medium,Low,High,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,0,E>S>D>A,1,0,2041332836,1,-1,-1,2,-1,1,1,-2,1,-1,-1,2,B
train_0018__p_at_ob_vs_q_at_ob,train_0018,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00259,B3-0026,A,Low,High,Medium,Low,Medium,Medium,Low,High,0,E>S>D>A,0,E>S>D>A,2,A>D>E>S,0,E>S>D>A,1,0,2041332836,-1,1,1,-2,-1,1,1,-2,-1,1,1,-2,A
train_0018__q_at_ob_vs_p_at_ob,train_0018,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00259,B3-0026,A,Low,High,Medium,Low,Medium,Medium,Low,High,0,E>S>D>A,0,E>S>D>A,2,A>D>E>S,0,E>S>D>A,1,0,2041332836,1,-1,-1,2,-1,1,1,-2,1,-1,-1,2,B
train_0019__p_at_oa_vs_q_at_oa,train_0019,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00260,B3-0026,B,Low,High,Medium,Low,Medium,Medium,Low,High,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,1,0,1347747455,-1,1,1,-2,1,-1,-1,2,-1,1,1,-2,A
train_0019__q_at_oa_vs_p_at_oa,train_0019,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00260,B3-0026,B,Low,High,Medium,Low,Medium,Medium,Low,High,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,1,0,1347747455,1,-1,-1,2,1,-1,-1,2,1,-1,-1,2,B
train_0019__p_at_ob_vs_q_at_ob,train_0019,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00260,B3-0026,B,Low,High,Medium,Low,Medium,Medium,Low,High,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,S>E>A>D,1,0,1347747455,-1,1,1,-2,1,-1,-1,2,-1,1,1,-2,A
train_0019__q_at_ob_vs_p_at_ob,train_0019,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00260,B3-0026,B,Low,High,Medium,Low,Medium,Medium,Low,High,1,S>E>A>D,1,S>E>A>D,2,A>D>E>S,1,S>E>A>D,1,0,1347747455,1,-1,-1,2,1,-1,-1,2,1,-1,-1,2,B
train_0020__p_at_oa_vs_q_at_oa,train_0020,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00262,B3-0027,B,Low,Low,High,Medium,High,Medium,Medium,Medium,3,D>A>S>E,3,D>A>S>E,3,D>A>S>E,0,E>S>D>A,1,0,2343724294,-2,-1,1,0,2,1,-1,0,-2,-1,1,0,A
