theme,family,effort,linear_model_predicts_actor_choice,judge_predicts_actor_choice,linear_model_factor_matches_stated_factor,judge_factor_matches_stated_factor,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
policy,Claude Haiku 4.5,low,0.8278350515463917,0.7917525773195876,0.945360824742268,0.7577319587628866,970,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_haiku45_low/stageA_summary.json
policy,Claude Haiku 4.5,minimal,0.8247422680412371,0.7598343685300207,0.8752577319587629,0.6832298136645962,970,966,970,966,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_haiku45_min/stageA_summary.json
policy,GPT-5-mini,low,0.8515463917525773,0.8268041237113402,0.9298969072164949,0.7690721649484537,970,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_mini_low/stageA_summary.json
policy,GPT-5-mini,minimal,0.8783505154639175,0.7865979381443299,0.9072164948453608,0.7123711340206186,970,970,970,970,mini_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_mini_min/stageA_summary.json
policy,GPT-5-nano,low,0.8865979381443299,0.7325702393340271,0.8844953173777316,0.6420395421436004,970,961,961,961,nano_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_nano_low/stageA_summary.json
policy,GPT-5-nano,minimal,0.8307533539731682,0.6307053941908713,0.6887966804979253,0.5124481327800829,969,964,964,964,nano_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_nano_min/stageA_summary.json
policy,Ministral-3-14B,low,0.8752577319587629,0.6935817805383023,0.6477272727272727,0.432712215320911,970,966,968,966,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_ministral3_14b_low/stageA_summary.json
policy,Ministral-3-14B,minimal,0.8762886597938144,0.6925465838509317,0.6508264462809917,0.42960662525879917,970,966,968,966,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_ministral3_14b_minimal/stageA_summary.json
policy,Qwen3.5-14B,low,0.8597938144329897,0.6842105263157895,0.8247422680412371,0.44272445820433437,970,969,970,969,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_qwen35_14b_low/stageA_summary.json
policy,Qwen3.5-14B,minimal,0.8605371900826446,0.6977225672877847,0.8285123966942148,0.4420289855072464,968,966,968,966,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_qwen35_14b_minimal/stageA_summary.json
software,Claude Haiku 4.5,low,0.7412371134020619,0.7876288659793814,0.8762886597938144,0.6494845360824743,970,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_haiku45_low/stageA_summary.json
software,Claude Haiku 4.5,minimal,0.7690721649484537,0.7349272349272349,0.8298969072164949,0.5498960498960499,970,962,970,962,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_haiku45_min/stageA_summary.json
software,GPT-5-mini,low,0.9010309278350516,0.6938144329896907,0.9268041237113402,0.622680412371134,970,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_mini_low/stageA_summary.json
software,GPT-5-mini,minimal,0.8247422680412371,0.6412371134020619,0.8556701030927835,0.39278350515463917,970,970,970,970,mini_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_mini_min/stageA_summary.json
software,GPT-5-nano,low,0.7938144329896907,0.7336108220603538,0.8210197710718002,0.5296566077003122,970,961,961,961,nano_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_nano_low/stageA_summary.json
software,GPT-5-nano,minimal,0.7690721649484537,0.6221532091097308,0.5817805383022774,0.33229813664596275,970,966,966,966,nano_min,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_nano_min/stageA_summary.json
software,Ministral-3-14B,low,0.7835051546391752,0.6991701244813278,0.6927835051546392,0.44398340248962653,970,964,970,964,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_ministral3_14b_low/stageA_summary.json
software,Ministral-3-14B,minimal,0.7948453608247422,0.7011375387797312,0.6876288659793814,0.44777662874870733,970,967,970,967,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_ministral3_14b_minimal/stageA_summary.json
software,Qwen3.5-14B,low,0.811340206185567,0.6618556701030928,0.7855670103092783,0.39484536082474225,970,970,970,970,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_qwen35_14b_low/stageA_summary.json
software,Qwen3.5-14B,minimal,0.8154639175257732,0.6494845360824743,0.7958762886597938,0.39484536082474225,970,970,970,970,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/software/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_software_balanced_train_qwen35_14b_minimal/stageA_summary.json
